id,marca,modelo,espessura_mm,espessura_us,tipo,material,formato,rigidez,durabilidade,manutencao_tensao,disponibilidade_brasil,CONFERE? (S/N),O QUE ESTA ERRADO,VALOR CORRETO,URL DA FONTE OFICIAL,AINDA E LINHA ATUAL? (S/N),OBSERVACOES
luxilon-alu-power-125,Luxilon,ALU Power,1.25,16L,co_polyester,co-poliéster monofilamento com aditivo de alumínio,round,firm,high,medium,widely_available,,,,,,
luxilon-alu-power-130,Luxilon,ALU Power,1.30,16,co_polyester,co-poliéster monofilamento com aditivo de alumínio,round,firm,high,medium,available,,,,,,
luxilon-element-125,Luxilon,Element,1.25,16L,co_polyester,co-poliéster monofilamento de resposta macia,round,soft,medium,medium,available,,,,,,
luxilon-element-130,Luxilon,Element,1.30,16,co_polyester,co-poliéster monofilamento de resposta macia,round,soft,medium,medium,limited,,,,,,
solinco-hyper-g-120,Solinco,Hyper-G,1.20,17,co_polyester,co-poliéster monofilamento,square,medium,high,medium,available,,,,,,
solinco-hyper-g-125,Solinco,Hyper-G,1.25,16L,co_polyester,co-poliéster monofilamento,square,medium,high,medium,widely_available,,,,,,
solinco-hyper-g-130,Solinco,Hyper-G,1.30,16,co_polyester,co-poliéster monofilamento,square,medium,high,medium,available,,,,,,
solinco-tour-bite-120,Solinco,Tour Bite,1.20,17,co_polyester,co-poliéster monofilamento,square,firm,high,medium,available,,,,,,
solinco-tour-bite-125,Solinco,Tour Bite,1.25,16L,co_polyester,co-poliéster monofilamento,square,firm,high,medium,widely_available,,,,,,
solinco-confidential-125,Solinco,Confidential,1.25,16L,co_polyester,co-poliéster monofilamento,pentagonal,soft,medium,high,available,,,,,,
babolat-rpm-blast-120,Babolat,RPM Blast,1.20,17,co_polyester,co-poliéster monofilamento,hexagonal,medium,high,medium,available,,,,,,
babolat-rpm-blast-125,Babolat,RPM Blast,1.25,16L,co_polyester,co-poliéster monofilamento,hexagonal,medium,high,medium,widely_available,,,,,,
babolat-rpm-blast-130,Babolat,RPM Blast,1.30,16,co_polyester,co-poliéster monofilamento,hexagonal,medium,high,medium,widely_available,,,,,,
babolat-xcel-125,Babolat,Xcel,1.25,17,multifilament,multifilamento de poliamida,round,soft,low,medium,available,,,,,,
babolat-xcel-130,Babolat,Xcel,1.30,16,multifilament,multifilamento de poliamida,round,soft,low,medium,widely_available,,,,,,
babolat-addiction-125,Babolat,Addiction,1.25,17,multifilament,multifilamento,round,soft,low,medium,available,,,,,,
babolat-addiction-130,Babolat,Addiction,1.30,16,multifilament,multifilamento,round,soft,low,medium,available,,,,,,
head-lynx-tour-120,HEAD,Lynx Tour,1.20,17,co_polyester,co-poliéster monofilamento,pentagonal,medium,high,high,available,,,,,,
head-lynx-tour-125,HEAD,Lynx Tour,1.25,16L,co_polyester,co-poliéster monofilamento,pentagonal,medium,high,high,widely_available,,,,,,
head-lynx-tour-130,HEAD,Lynx Tour,1.30,16,co_polyester,co-poliéster monofilamento,pentagonal,medium,high,high,available,,,,,,
head-velocity-mlt-125,HEAD,Velocity MLT,1.25,17,multifilament,multifilamento,round,soft,low,medium,available,,,,,,
head-velocity-mlt-130,HEAD,Velocity MLT,1.30,16,multifilament,multifilamento,round,soft,low,medium,available,,,,,,
yonex-poly-tour-pro-120,Yonex,Poly Tour Pro,1.20,17,co_polyester,co-poliéster monofilamento com camada de silicone,round,soft,medium,high,available,,,,,,
yonex-poly-tour-pro-125,Yonex,Poly Tour Pro,1.25,16L,co_polyester,co-poliéster monofilamento com camada de silicone,round,soft,medium,high,widely_available,,,,,,
yonex-poly-tour-pro-130,Yonex,Poly Tour Pro,1.30,16,co_polyester,co-poliéster monofilamento com camada de silicone,round,soft,medium,high,available,,,,,,
yonex-poly-tour-strike-125,Yonex,Poly Tour Strike,1.25,16L,co_polyester,co-poliéster monofilamento,round,firm,high,medium,available,,,,,,
yonex-poly-tour-strike-130,Yonex,Poly Tour Strike,1.30,16,co_polyester,co-poliéster monofilamento,round,firm,high,medium,available,,,,,,
yonex-rexis-comfort-125,Yonex,Rexis Comfort,1.25,16L,multifilament,multifilamento com núcleo de poliuretano,round,very_soft,low,medium,available,,,,,,
wilson-nxt-125,Wilson,NXT,1.25,17,multifilament,multifilamento com núcleo trançado,round,soft,low,high,available,,,,,,
wilson-nxt-130,Wilson,NXT,1.30,16,multifilament,multifilamento com núcleo trançado,round,soft,low,high,widely_available,,,,,,
wilson-revolve-125,Wilson,Revolve,1.25,16L,co_polyester,co-poliéster monofilamento,hexagonal,medium,medium,medium,available,,,,,,
wilson-revolve-130,Wilson,Revolve,1.30,16,co_polyester,co-poliéster monofilamento,hexagonal,medium,medium,medium,available,,,,,,
wilson-synthetic-gut-power-130,Wilson,Synthetic Gut Power,1.30,16,synthetic_gut,nylon monofilamento,round,medium,medium,medium,widely_available,,,,,,
babolat-vs-touch-130,Babolat,VS Touch,1.30,16,natural_gut,tripa natural bovina,round,very_soft,medium,high,limited,,,,,,
solinco-mach-10-115,Solinco,Mach-10,1.15,18,co_polyester,co-poliéster com aditivo CloudFORM,pentagonal,very_soft,medium,high,available,,,,,,
solinco-mach-10-120,Solinco,Mach-10,1.20,17,co_polyester,co-poliéster com aditivo CloudFORM,pentagonal,very_soft,medium,high,available,,,,,,
solinco-mach-10-125,Solinco,Mach-10,1.25,16L,co_polyester,co-poliéster com aditivo CloudFORM,pentagonal,very_soft,medium,high,available,,,,,,
solinco-mach-10-130,Solinco,Mach-10,1.30,16,co_polyester,co-poliéster com aditivo CloudFORM,pentagonal,very_soft,medium,high,available,,,,,,
luxilon-4g-125,Luxilon,4G,1.25,16L,co_polyester,co-poliéster,round,very_firm,high,high,available,,,,,,
luxilon-4g-130,Luxilon,4G,1.30,16,co_polyester,co-poliéster,round,very_firm,high,high,available,,,,,,
luxilon-alu-power-rough-125,Luxilon,ALU Power Rough,1.25,16L,co_polyester,co-poliéster de alumínio,textured,firm,high,medium,available,,,,,,
yonex-poly-tour-rev-120,Yonex,Poly Tour Rev,1.20,17,co_polyester,poliéster,pentagonal,medium,medium,medium,available,,,,,,
yonex-poly-tour-rev-125,Yonex,Poly Tour Rev,1.25,16L,co_polyester,poliéster,pentagonal,medium,medium,medium,available,,,,,,
yonex-poly-tour-rev-130,Yonex,Poly Tour Rev,1.30,16,co_polyester,poliéster,pentagonal,medium,medium,medium,available,,,,,,
yonex-poly-tour-fire-120,Yonex,Poly Tour Fire,1.20,17,co_polyester,poliéster,round,medium,medium,medium,available,,,,,,
yonex-poly-tour-fire-125,Yonex,Poly Tour Fire,1.25,16L,co_polyester,poliéster,round,medium,medium,medium,available,,,,,,
head-hawk-touch-120,HEAD,Hawk Touch,1.20,17,co_polyester,co-poliéster,round,soft,medium,medium,available,,,,,,
head-hawk-touch-125,HEAD,Hawk Touch,1.25,16L,co_polyester,co-poliéster,round,soft,medium,medium,available,,,,,,
solinco-tour-bite-soft-120,Solinco,Tour Bite Soft,1.20,17,co_polyester,co-poliéster,square,soft,high,medium,available,,,,,,
solinco-tour-bite-soft-125,Solinco,Tour Bite Soft,1.25,16L,co_polyester,co-poliéster,square,soft,high,medium,available,,,,,,
babolat-rpm-soft-125,Babolat,RPM Soft,1.25,16L,co_polyester,co-poliéster,round,soft,medium,medium,available,,,,,,
babolat-rpm-soft-130,Babolat,RPM Soft,1.30,16,co_polyester,co-poliéster,round,soft,medium,medium,available,,,,,,
wilson-sensation-125,Wilson,Sensation,1.25,17,multifilament,multifilamento de nylon,round,very_soft,low,low,available,,,,,,
wilson-sensation-130,Wilson,Sensation,1.30,16,multifilament,multifilamento de nylon,round,very_soft,low,low,available,,,,,,
head-synthetic-gut-pps-130,HEAD,Synthetic Gut PPS,1.30,16,synthetic_gut,nylon com núcleo PPS,round,medium,medium,medium,available,,,,,,
wilson-natural-gut-130,Wilson,Natural Gut,1.30,16,natural_gut,tripa natural bovina,round,very_soft,medium,high,limited,,,,,,
